country,year,co2,world,co2_per_capita,pop
Afghanistan,2008,35452.459,third,76.867,27722281
Afghanistan,2012,34974.075,third,75.96,31161378
Afghanistan,2016,34807.259,third,74.817,35383028
Afghanistan,2020,32069.444,third,71.537,38928341
Albania,2008,20317.058,third,31.135,3002683
Albania,2012,19218.166,third,30.957,2914091
Albania,2016,18456.3,third,30.905,2886427
Albania,2020,14811.211,third,30.516,2877800
Algeria,2008,10667.887,third,25.064,34730604
Algeria,2012,9775.622,third,24.714,37383899
Algeria,2016,9720.444,third,24.486,40551398
Algeria,2020,7496.832,third,24.323,43851043
Andorra,2008,7158.262,third,23.707,83860
Andorra,2012,6580.283,third,23.573,82427
Andorra,2016,6471.36,third,23.432,77295
Andorra,2020,5914.078,third,23.259,77265
Angola,2008,5775.159,third,21.439,21695636
Angola,2012,5338.698,third,21.283,25107925
Angola,2016,5248.024,third,21.125,28842482
Angola,2020,4712.771,third,20.928,32866267
Anguilla,2008,2441.792,third,20.73,13056
Anguilla,2012,2382.223,third,20.7,13794
Anguilla,2016,1963.586,third,20.546,14435
Anguilla,2020,1680.104,third,20.446,15002
Antigua and Barbuda,2008,1636.923,third,18.355,85394
Antigua and Barbuda,2012,1618.599,third,18.254,90407
Antigua and Barbuda,2016,1577.136,third,18.195,94520
Antigua and Barbuda,2020,1462.815,third,18.141,97928
Argentina,2008,1306.01,third,16.712,40080159
Argentina,2012,1244.184,third,16.649,41755188
Argentina,2016,1241.584,third,16.62,43508459
Argentina,2020,1232.314,third,16.55,45195777
Armenia,2008,1223.336,third,15.122,2907615
Armenia,2012,1203.718,third,15.117,2884239
Armenia,2016,1164.898,first,15.066,2936147
Armenia,2020,1159.7,first,15.052,2963234
Aruba,2008,1062.388,first,14.342,101362
Aruba,2012,1030.775,first,14.304,102565
Aruba,2016,1007.52,first,14.262,104865
Aruba,2020,994.16,first,14.244,106766
Australia,2008,644.31,first,11.69,21332293
Australia,2012,639.259,first,11.68,22903951
Australia,2016,639.056,first,11.663,24262710
Australia,2020,637.362,first,11.654,25499881
Austria,2008,628.936,first,11.146,8341525
Austria,2012,625.508,first,11.14,8502230
Austria,2016,602.738,first,11.136,8747306
Austria,2020,597.605,first,11.116,9006400
Azerbaijan,2008,589.5,first,10.693,8821869
Azerbaijan,2012,579.367,first,10.682,9264684
Azerbaijan,2016,569.263,first,10.675,9736041
Azerbaijan,2020,563.179,first,10.668,10139175
Bahamas,2008,560.846,first,10.528,343680
Bahamas,2012,559.567,first,10.513,363581
Bahamas,2016,544.498,first,10.498,377923
Bahamas,2020,535.823,first,10.488,393248
Bahrain,2008,534.644,first,10.287,1114645
Bahrain,2012,534.025,first,10.268,1299942
Bahrain,2016,521.528,first,10.258,1425793
Bahrain,2020,498.309,first,10.243,1701583
Bangladesh,2008,496.3,first,10.088,144304164
Bangladesh,2012,494.642,first,10.067,151005733
Bangladesh,2016,492.98,first,10.062,157977151
Bangladesh,2020,492.748,first,10.059,164689383
Barbados,2008,487.517,first,9.916,279946
Barbados,2012,482.798,first,9.911,283698
Barbados,2016,478.903,first,9.897,285798
Barbados,2020,467.384,first,9.894,287371
Belarus,2008,465.567,first,9.545,9452855
Belarus,2012,464.769,first,9.536,9417045
Belarus,2016,461.139,first,9.525,9445638
Belarus,2020,457.879,first,9.514,9449321
Belgium,2008,451.957,first,9.14,10778764
Belgium,2012,450.53,first,9.127,11085355
Belgium,2016,444.397,first,9.118,11354407
Belgium,2020,432.336,first,9.114,11589616
Belize,2008,415.945,first,8.981,306822
Belize,2012,412.638,first,8.969,338001
Belize,2016,409.653,first,8.964,368399
Belize,2020,403.447,first,8.955,397621
Benin,2008,402.666,first,8.858,8696915
Benin,2012,401.24,first,8.85,9729254
Benin,2016,399.337,first,8.845,10872072
Benin,2020,392.794,first,8.839,12123198
Bermuda,2008,391.892,first,8.741,65940
Bermuda,2012,387.992,first,8.737,64736
Bermuda,2016,366.293,first,8.733,63360
Bermuda,2020,358.061,first,8.73,62273
Bhutan,2008,356.968,first,8.687,671611
Bhutan,2012,355.932,first,8.684,701582
Bhutan,2016,353.666,first,8.675,736706
Bhutan,2020,336.767,first,8.662,771612
Bolivia,2008,333.579,first,8.549,9721457
Bolivia,2012,330.454,first,8.542,10377677
Bolivia,2016,329.579,first,8.535,11031822
Bolivia,2020,326.702,first,8.523,11673029
Bonaire Sint Eustatius and Saba,2008,325.533,first,8.375,18163
Bonaire Sint Eustatius and Saba,2012,324.342,first,8.365,22840
Bonaire Sint Eustatius and Saba,2016,309.321,first,8.358,25017
Bonaire Sint Eustatius and Saba,2020,303.976,first,8.348,26221
Bosnia and Herzegovina,2008,303.815,first,8.155,3754261
Bosnia and Herzegovina,2012,299.593,first,8.153,3604972
Bosnia and Herzegovina,2016,291.336,first,8.146,3386263
Bosnia and Herzegovina,2020,288.686,first,8.142,3280815
Botswana,2008,283.435,first,8.08,1915636
Botswana,2012,279.705,first,8.076,2039551
Botswana,2016,278.964,first,8.07,2159925
Botswana,2020,276.634,first,8.067,2351625
Brazil,2008,273.175,first,7.883,192030362
Brazil,2012,272.756,first,7.88,199287292
Brazil,2016,272.607,first,7.875,206163056
Brazil,2020,270.268,first,7.872,212559409
British Virgin Islands,2008,266.595,first,7.791,26096
British Virgin Islands,2012,260.758,first,7.786,28654
British Virgin Islands,2016,257.766,first,7.779,29355
British Virgin Islands,2020,254.303,first,7.772,30237
Brunei,2008,250.561,first,7.634,379418
Brunei,2012,245.836,first,7.625,398997
Brunei,2016,234.755,first,7.62,419791
Brunei,2020,234.123,first,7.617,437483
Bulgaria,2008,234.006,first,7.384,7524084
Bulgaria,2012,228.67,first,7.377,7334007
Bulgaria,2016,226.873,first,7.369,7151948
Bulgaria,2020,215.213,first,7.363,6948445
Burkina Faso,2008,214.667,first,7.287,14689725
Burkina Faso,2012,213.909,first,7.28,16571252
Burkina Faso,2016,213.457,first,7.271,18646350
Burkina Faso,2020,210.829,first,7.268,20903278
Burundi,2008,208.915,first,7.181,8126104
Burundi,2012,208.718,first,7.171,9245992
Burundi,2016,207.019,first,7.162,10488002
Burundi,2020,201.985,first,7.157,11890781
Cambodia,2008,201.548,first,7.079,13883835
Cambodia,2012,194.764,first,7.067,14780454
Cambodia,2016,194.361,first,7.059,15766290
Cambodia,2020,192.766,first,7.055,16718971
Cameroon,2008,191.715,first,6.965,19252674
Cameroon,2012,190.977,first,6.954,21485267
Cameroon,2016,188.106,first,6.948,23926549
Cameroon,2020,182.224,first,6.935,26545864
Canada,2008,174.862,first,6.61,33337638
Canada,2012,169.477,first,6.607,34922031
Canada,2016,168.69,first,6.604,36382942
Canada,2020,164.925,first,6.6,37742157
Cape Verde,2008,164.7,first,6.525,480846
Cape Verde,2012,156.978,first,6.514,505241
Cape Verde,2016,155.356,first,6.506,531140
Cape Verde,2020,154.995,first,6.498,555988
Central African Republic,2008,153.97,first,6.424,4273368
Central African Republic,2012,153.876,first,6.423,4436411
Central African Republic,2016,152.815,first,6.418,4537683
Central African Republic,2020,150.268,first,6.413,4829764
Chad,2008,148.929,first,6.331,11183589
Chad,2012,142.552,first,6.323,12784748
Chad,2016,138.1,first,6.312,14561658
Chad,2020,136.018,first,6.298,16425859
Chile,2008,128.111,first,6.148,16708255
Chile,2012,125.463,first,6.147,17400359
Chile,2016,123.039,first,6.143,18209072
Chile,2020,122.995,first,6.137,19116209
China,2008,122.237,first,5.994,1353569480
China,2012,120.181,first,5.993,1384206408
China,2016,116.331,first,5.988,1414049353
China,2020,115.821,first,5.983,1439323774
Colombia,2008,111.125,first,5.82,44254972
Colombia,2012,109.032,first,5.818,46075721
Colombia,2016,108.169,first,5.813,48175048
Colombia,2020,106.685,first,5.811,50882884
Comoros,2008,106.655,first,5.747,657227
Comoros,2012,102.386,first,5.738,723865
Comoros,2016,100.859,first,5.735,795597
Comoros,2020,100.074,first,5.73,869595
Congo,2008,99.872,first,5.664,4011487
Congo,2012,98.58,first,5.66,4510197
Congo,2016,94.772,first,5.656,4980996
Congo,2020,93.242,first,5.651,5518092
Cook Islands,2008,92.842,first,5.601,18808
Cook Islands,2012,92.304,first,5.597,18009
Cook Islands,2016,91.803,first,5.594,17521
Cook Islands,2020,91.431,first,5.59,17564
Costa Rica,2008,89.105,first,5.507,4463123
Costa Rica,2012,88.935,first,5.498,4688003
Costa Rica,2016,88.907,first,5.494,4899336
Costa Rica,2020,88.442,first,5.49,5094114
Cote d'Ivoire,2008,88.408,first,5.411,19605568
Cote d'Ivoire,2012,87.975,first,5.405,21547188
Cote d'Ivoire,2016,84.609,first,5.402,23822726
Cote d'Ivoire,2020,84.392,first,5.399,26378275
Croatia,2008,83.882,first,5.246,4352639
Croatia,2012,83.749,first,5.244,4295869
Croatia,2016,82.297,first,5.242,4208611
Croatia,2020,81.171,first,5.238,4105268
Cuba,2008,79.727,first,5.166,11236975
Cuba,2012,79.684,first,5.161,11257112
Cuba,2016,77.301,first,5.157,11335108
Cuba,2020,76.477,first,5.154,11326616
Curacao,2008,75.338,first,5.062,141004
Curacao,2012,74.785,first,5.058,154812
Curacao,2016,74.152,first,5.055,161055
Curacao,2020,73.472,first,5.048,164100
Cyprus,2008,71.475,first,4.982,1081568
Cyprus,2012,71.373,first,4.972,1135046
Cyprus,2016,70.795,first,4.968,1170189
Cyprus,2020,70.329,first,4.964,1207361
Czechia,2008,70.164,first,4.792,10425267
Czechia,2012,67.98,first,4.783,10581302
